trait_coding_logic,trait_visual_creativity,trait_math_analytical,trait_leadership_strategy,trait_physical_mechanical,trait_empathy_caregiving,trait_writing_argument,trait_teaching_mentoring,trait_scientific_inquiry,trait_risk_operations,career_category
1.55,1.3,4.47,5.07,0.44,1.85,8.28,3.55,4.68,4.21,Lawyer
2.13,2.88,5.94,3.62,8.56,1.51,2.27,2.46,3.56,2.94,Engineer
0.95,2.73,1.5,4.53,7.75,3.41,1.91,2.99,1.35,4.25,Sports Professional
2.51,1.76,8.56,1.49,1.63,0.64,3.1,2.64,2.91,4.65,Analyst
0.0,1.89,3.49,5.27,2.73,2.26,3.24,5.82,0.38,5.39,Manager
5.47,3.0,8.47,1.91,0.85,1.72,1.77,3.44,3.49,4.76,Analyst
0.58,3.28,3.43,5.51,1.89,5.69,4.08,8.44,3.18,2.34,Educator
3.15,2.28,4.29,2.94,6.2,1.11,2.81,1.58,4.59,2.33,Engineer
3.52,1.54,5.87,2.19,8.47,1.34,1.75,3.55,3.26,3.5,Engineer
1.01,8.04,2.57,0.96,2.49,1.16,3.63,1.52,1.08,1.09,Designer
0.76,1.13,1.58,4.12,7.42,2.38,3.01,5.77,2.35,1.92,Sports Professional
3.04,1.97,5.54,1.14,1.75,1.73,5.49,3.43,8.32,3.17,Researcher
3.73,2.72,5.9,2.33,2.87,1.95,6.53,4.13,7.45,3.21,Researcher
2.84,8.45,4.08,1.09,2.24,0.32,2.64,2.88,0.14,1.32,Designer
2.63,1.02,1.71,3.86,1.02,6.47,6.16,7.66,4.42,1.18,Educator
2.72,2.17,4.34,3.3,8.54,1.76,0.56,2.55,1.99,3.05,Engineer
4.57,2.43,7.47,2.97,0.7,1.74,1.64,1.38,2.89,4.16,Analyst
4.5,2.27,7.41,1.25,1.46,3.23,3.37,1.62,2.21,3.68,Analyst
3.52,9.5,3.1,1.82,1.17,0.0,4.33,2.42,1.56,2.7,Designer
1.58,2.72,1.54,4.11,1.12,5.91,3.93,8.44,4.47,3.2,Educator
3.1,9.81,2.22,2.25,0.13,1.02,2.33,2.95,1.45,2.22,Designer
0.0,0.86,2.2,4.29,8.82,2.19,1.85,4.54,1.82,3.04,Sports Professional
1.03,3.41,0.99,4.09,8.0,4.3,3.41,4.03,1.27,2.42,Sports Professional
1.74,3.31,1.85,2.34,0.58,5.6,3.39,7.46,2.5,2.49,Educator
4.08,6.74,2.72,3.5,1.21,2.27,1.62,1.38,2.35,2.22,Designer
0.0,0.15,3.25,2.74,4.61,8.41,2.55,3.84,4.9,3.01,Healthcare Professional
1.02,8.03,1.42,3.34,0.84,0.24,0.56,1.97,1.49,0.21,Designer
1.5,2.43,5.13,1.16,6.48,1.34,2.36,3.31,3.51,1.42,Engineer
0.0,2.83,2.32,4.42,6.84,1.51,2.68,4.72,2.2,2.41,Sports Professional
5.68,1.82,5.64,2.89,2.15,2.33,2.4,2.08,3.02,3.76,Analyst
1.13,1.43,1.83,3.08,1.64,7.8,2.52,3.58,6.22,2.42,Healthcare Professional
3.96,1.93,7.35,3.74,1.51,2.33,6.13,3.45,9.14,1.86,Researcher
3.33,2.82,4.26,2.69,1.07,3.4,6.38,3.42,7.1,2.65,Researcher
1.48,4.03,2.55,3.3,1.48,5.94,6.47,7.7,1.92,2.52,Educator
0.26,0.24,4.37,2.8,0.0,8.36,2.84,2.32,5.25,1.71,Healthcare Professional
3.77,1.87,4.86,0.63,0.88,2.29,4.98,2.73,8.95,2.91,Researcher
2.89,8.11,1.57,0.83,0.7,0.02,2.51,0.92,1.76,2.73,Designer
0.63,0.7,3.21,4.18,0.99,3.77,8.6,3.18,3.87,5.73,Lawyer
2.44,1.69,3.92,8.78,1.2,1.9,4.17,4.56,3.12,6.78,Manager
6.07,0.81,7.18,1.85,0.22,1.48,0.0,1.5,3.3,2.83,Developer
4.2,0.95,5.34,2.17,2.58,2.53,5.41,3.0,9.34,0.88,Researcher
0.0,1.68,3.5,5.62,0.0,2.41,7.57,2.62,3.54,5.14,Lawyer
7.94,3.01,5.68,1.41,1.39,0.0,2.61,1.61,2.8,3.84,Developer
0.7,0.92,3.38,2.93,0.92,9.64,1.94,4.83,6.76,1.37,Healthcare Professional
3.74,2.9,5.04,1.07,1.42,3.54,5.13,2.53,8.56,3.3,Researcher
0.0,2.22,3.73,3.27,6.91,2.52,1.87,3.11,1.37,1.79,Sports Professional
0.65,1.46,3.58,4.12,1.76,9.7,2.33,4.75,7.74,2.63,Healthcare Professional
1.27,6.95,0.69,2.17,2.02,2.09,2.39,0.96,1.39,2.54,Designer
0.9,2.22,2.8,3.57,8.08,4.68,1.52,4.48,4.35,2.28,Sports Professional
0.47,8.34,2.24,2.06,1.3,1.24,2.95,1.97,2.28,1.69,Designer
6.55,3.18,6.73,2.13,1.26,0.11,1.24,2.62,3.7,1.96,Developer
1.9,9.45,1.87,2.27,2.74,1.14,4.33,3.79,1.88,0.98,Designer
3.46,7.31,3.03,2.17,1.73,0.0,0.52,1.8,2.22,0.49,Designer
4.77,2.16,4.91,3.23,1.41,3.53,5.4,3.54,7.01,1.88,Researcher
1.03,0.9,2.12,5.85,6.84,1.65,1.89,4.47,2.64,3.83,Sports Professional
3.08,7.97,1.92,3.69,1.97,1.2,1.22,2.35,2.75,0.93,Designer
3.16,7.33,3.18,2.19,1.36,3.75,1.55,1.68,0.89,2.36,Designer
0.63,1.73,3.73,6.21,0.78,1.92,9.79,3.59,4.85,5.29,Lawyer
1.01,4.01,2.22,3.04,0.57,5.44,4.83,7.45,2.26,3.3,Educator
3.18,2.09,4.9,2.19,2.1,2.13,6.16,4.52,8.37,2.51,Researcher
1.7,1.41,3.68,6.08,1.43,2.69,7.46,3.26,5.0,5.5,Lawyer
2.8,1.81,1.61,3.79,1.15,6.0,4.41,9.21,3.41,1.73,Educator
2.84,8.36,1.72,1.28,1.28,1.78,2.22,2.28,2.4,2.25,Designer
1.17,1.86,2.52,2.64,1.2,5.09,5.35,7.23,2.48,2.75,Educator
3.73,1.03,6.44,2.82,1.28,0.88,3.0,3.37,2.62,2.74,Analyst
7.41,2.32,4.71,0.76,0.8,1.33,2.82,0.78,4.34,1.76,Developer
0.0,2.31,1.14,5.49,8.82,3.24,0.75,4.45,1.73,3.25,Sports Professional
1.39,1.7,4.36,6.65,0.57,1.24,8.53,2.67,3.44,6.18,Lawyer
1.09,0.95,2.3,2.01,1.33,9.0,3.14,2.88,4.43,1.5,Healthcare Professional
1.37,3.59,2.48,7.57,2.98,2.57,4.11,4.96,1.64,7.67,Manager
2.41,1.03,2.17,6.15,0.81,2.08,8.19,2.42,2.95,6.92,Lawyer
2.56,1.62,8.4,2.12,0.34,3.55,4.64,2.42,4.53,2.5,Analyst
1.77,7.83,3.01,3.15,1.35,2.49,2.82,2.06,2.82,1.57,Designer
2.09,8.14,0.65,2.9,0.71,1.58,3.55,2.83,2.03,1.17,Designer
6.1,2.56,4.54,1.93,0.17,2.39,1.3,1.21,3.73,0.89,Developer
0.84,2.41,1.6,5.73,7.41,2.91,1.78,7.0,1.18,3.03,Sports Professional
0.37,1.4,4.18,5.92,1.81,0.19,2.44,4.05,2.26,7.69,Manager
8.49,3.57,6.07,0.47,2.47,0.0,2.27,0.82,2.94,2.3,Developer
0.97,0.45,3.05,4.12,7.53,3.91,2.37,4.46,1.55,3.01,Sports Professional
1.13,2.4,3.3,4.88,0.0,6.8,5.98,8.23,3.86,3.65,Educator
8.47,4.63,4.79,0.26,1.27,1.65,1.79,2.81,1.8,2.62,Developer
7.64,2.66,4.9,1.68,0.45,0.64,1.38,0.21,3.13,2.53,Developer
1.9,8.19,1.12,2.14,1.12,0.81,3.16,0.62,2.51,2.12,Designer
0.46,0.3,2.41,6.37,6.92,3.16,3.18,4.41,0.72,2.54,Sports Professional
0.7,0.49,2.46,6.56,0.0,2.76,7.14,2.8,4.86,6.96,Lawyer
6.94,2.0,4.93,2.57,2.28,0.49,1.25,1.92,2.5,2.57,Developer
1.74,0.89,2.27,3.71,1.29,5.72,4.05,7.76,3.21,2.74,Educator
1.43,1.08,4.18,3.18,1.65,10.2,2.4,4.23,6.16,2.38,Healthcare Professional
3.37,4.09,6.59,1.27,6.35,1.14,0.76,0.2,3.98,3.29,Engineer
1.2,1.33,2.22,3.77,9.64,3.21,1.16,4.15,2.68,1.52,Sports Professional
3.63,3.03,6.97,2.96,1.59,2.52,2.82,3.79,2.97,4.71,Analyst
1.91,2.85,2.34,3.69,0.0,6.08,4.2,8.22,3.44,3.62,Educator
3.51,2.81,3.25,3.47,2.38,6.3,4.16,7.03,2.79,2.21,Educator
3.2,3.39,6.61,2.46,0.06,1.41,5.64,2.77,8.59,4.51,Researcher
8.78,0.26,6.65,1.8,0.0,0.03,3.51,0.65,1.96,3.02,Developer
1.08,1.66,1.77,5.68,7.0,2.35,2.96,4.19,3.75,3.12,Sports Professional
0.0,2.28,3.78,2.43,2.54,9.48,1.81,4.22,6.36,2.98,Healthcare Professional
8.47,1.58,5.62,0.87,2.08,0.0,1.5,1.84,4.41,1.94,Developer
1.23,0.33,1.55,5.31,8.7,0.98,2.18,5.35,2.49,3.09,Sports Professional
0.26,0.48,2.2,2.52,1.79,8.93,2.58,4.44,6.13,1.5,Healthcare Professional
4.11,0.97,5.29,1.62,0.9,2.94,3.61,2.27,3.14,3.98,Analyst
2.9,2.19,3.83,3.94,2.38,5.23,4.69,8.13,2.71,1.72,Educator
2.31,9.12,1.3,1.41,1.22,0.0,2.62,0.3,2.05,2.28,Designer
0.63,1.73,2.63,6.99,1.18,2.46,2.57,4.48,1.47,5.92,Manager
0.7,1.85,2.61,4.1,4.3,7.65,2.93,4.36,6.12,3.09,Healthcare Professional
0.79,0.95,2.39,7.02,9.66,3.76,1.45,4.35,3.0,3.17,Sports Professional
4.43,1.11,6.84,1.38,0.57,0.96,0.86,2.63,5.5,5.05,Analyst
2.26,3.49,3.84,2.02,3.59,6.59,2.23,4.05,7.73,3.32,Healthcare Professional
1.58,2.61,3.1,7.28,0.12,2.39,7.47,3.85,4.25,4.79,Lawyer
2.83,7.53,0.56,3.34,3.35,2.89,2.2,0.96,1.04,0.0,Designer
1.61,1.84,5.2,8.14,0.19,0.45,4.16,4.5,0.63,6.45,Manager
2.3,8.51,1.81,2.49,1.2,1.5,2.25,1.59,1.38,1.92,Designer
0.0,1.3,3.14,3.08,1.89,6.9,1.54,2.76,6.5,2.4,Healthcare Professional
3.92,1.47,5.27,0.21,1.5,1.94,6.87,2.62,8.11,2.61,Researcher
2.27,1.57,2.77,6.95,0.0,2.04,3.3,5.21,2.58,8.02,Manager
4.44,1.85,4.93,1.66,2.65,1.65,4.85,3.25,6.97,2.47,Researcher
2.02,1.17,0.71,4.42,10.0,3.98,1.28,3.76,1.28,1.68,Sports Professional
4.63,2.21,8.3,4.1,0.0,1.45,2.75,2.39,3.69,4.18,Analyst
0.85,1.75,3.98,3.8,1.6,7.88,3.31,4.85,5.92,2.45,Healthcare Professional
0.0,1.56,2.3,4.31,7.57,3.14,2.89,4.98,1.32,1.19,Sports Professional
1.94,1.02,2.85,2.61,0.98,9.41,2.54,4.98,6.94,1.63,Healthcare Professional
1.93,9.38,1.41,1.46,1.93,0.98,2.64,0.6,3.99,0.29,Designer
7.87,2.92,5.54,2.0,0.0,0.73,2.22,0.46,3.35,1.82,Developer
4.11,1.98,7.73,2.52,6.09,0.75,2.06,2.4,3.27,2.09,Engineer
2.52,1.49,4.17,3.53,0.0,2.24,8.46,3.0,5.03,5.88,Lawyer
3.89,3.35,5.56,2.99,8.92,0.0,2.32,2.75,3.41,4.11,Engineer
5.59,3.06,4.71,2.35,0.89,2.79,7.43,2.92,7.79,2.32,Researcher
8.69,2.68,7.37,0.88,2.56,1.18,1.41,1.06,2.71,2.38,Developer
1.46,1.67,4.43,8.18,0.83,2.99,7.93,3.42,6.19,4.17,Lawyer
0.99,8.09,0.48,2.75,2.28,1.79,1.49,3.24,3.83,1.63,Designer
1.66,2.47,3.09,4.69,2.26,4.79,6.63,7.98,4.09,0.24,Educator
3.18,9.05,0.87,3.16,1.21,2.04,1.68,2.13,2.28,0.16,Designer
1.21,1.5,3.9,0.63,1.17,8.51,2.55,4.68,6.24,2.38,Healthcare Professional
1.78,1.28,2.47,6.07,0.73,3.21,9.12,2.27,3.4,6.21,Lawyer
2.97,9.29,3.29,2.26,0.0,1.91,3.44,1.93,3.57,2.27,Designer
7.21,4.12,5.71,1.95,1.6,1.38,2.76,0.94,2.5,1.01,Developer
2.4,2.17,2.72,5.62,1.99,2.71,8.94,1.35,4.59,3.58,Lawyer
1.87,1.53,1.49,2.6,0.55,6.45,4.91,8.6,2.08,2.69,Educator
0.18,3.06,2.77,6.63,1.65,0.26,7.41,4.26,4.56,5.62,Lawyer
3.59,2.38,3.44,0.72,1.46,3.8,6.58,2.95,9.27,2.71,Researcher
1.97,8.03,0.0,0.95,0.51,2.24,3.28,2.29,2.74,1.35,Designer
1.65,0.62,0.79,3.96,8.07,3.79,2.54,3.55,2.56,3.15,Sports Professional
3.93,1.59,6.36,3.55,1.92,3.36,4.58,2.3,7.87,1.84,Researcher
4.48,1.36,7.01,2.88,0.0,2.03,2.65,2.74,4.36,2.99,Analyst
1.66,1.77,2.38,5.68,1.13,2.64,8.91,4.37,4.97,4.1,Lawyer
2.0,2.51,0.5,6.92,0.0,2.36,3.74,4.51,0.13,6.22,Manager
7.84,3.61,4.96,0.0,0.63,1.82,2.48,1.89,2.75,0.85,Developer
4.41,2.89,6.09,1.31,1.82,3.48,6.85,2.14,8.0,2.83,Researcher
3.15,2.19,5.22,3.29,7.84,0.36,2.54,1.86,2.7,2.36,Engineer
1.59,3.01,2.7,4.63,7.97,3.48,1.8,5.13,1.77,2.37,Sports Professional
0.0,3.04,1.78,5.12,1.51,5.57,2.32,9.1,3.26,2.1,Educator
6.98,2.01,5.47,1.01,0.36,1.1,1.77,2.85,0.61,2.98,Developer
3.74,2.53,5.54,3.63,9.21,2.05,2.5,2.69,5.17,3.68,Engineer
1.16,8.07,3.26,2.4,1.53,1.35,2.8,2.67,2.55,1.2,Designer
1.64,6.75,2.89,1.3,0.8,2.39,0.81,0.63,1.98,1.76,Designer
6.45,2.25,5.23,0.41,1.35,1.23,1.83,0.82,3.94,3.49,Developer
4.29,1.57,5.94,2.8,1.13,0.14,3.41,1.55,5.92,3.99,Analyst
2.3,7.11,2.02,0.68,0.0,1.83,2.15,2.18,1.98,0.62,Designer
4.26,2.78,7.39,3.28,1.14,1.58,2.9,0.7,5.24,3.65,Analyst
2.86,3.68,2.3,4.1,1.92,9.44,2.8,4.09,3.75,1.71,Healthcare Professional
1.84,8.07,1.88,3.02,0.71,0.77,3.41,1.96,3.24,0.9,Designer
7.38,2.03,4.28,0.53,0.0,0.91,1.46,0.63,2.94,2.33,Developer
0.0,1.58,2.09,4.84,2.54,8.87,2.47,3.1,5.53,2.73,Healthcare Professional
3.24,1.54,5.84,1.88,7.16,1.96,2.43,2.91,2.06,3.05,Engineer
0.0,2.2,2.72,4.08,7.89,1.94,1.1,4.21,2.58,2.59,Sports Professional
1.49,0.72,2.2,3.32,7.17,3.57,1.33,5.68,1.47,3.5,Sports Professional
0.0,1.58,2.45,2.75,3.79,6.9,2.77,3.21,5.72,3.17,Healthcare Professional
7.68,1.62,5.87,0.0,1.93,1.43,2.23,2.38,4.5,2.91,Developer
1.15,1.64,3.39,5.1,7.59,4.56,0.92,4.98,3.03,3.46,Sports Professional
0.0,0.87,2.96,7.17,0.51,2.89,7.93,4.35,4.84,5.75,Lawyer
4.43,1.54,7.07,2.53,1.1,1.09,2.75,3.21,4.75,4.73,Analyst
0.34,2.35,3.2,3.64,7.81,2.79,1.68,5.22,2.79,2.87,Sports Professional
2.44,2.45,4.51,2.29,7.1,0.88,1.5,0.64,3.17,3.84,Engineer
0.0,1.79,1.88,3.65,1.82,6.45,2.14,7.79,2.56,3.74,Educator
3.13,8.55,2.08,1.6,1.02,0.53,2.11,0.09,1.34,1.22,Designer
4.24,1.64,6.14,1.33,2.16,1.07,3.02,0.16,2.31,5.05,Analyst
6.76,1.85,7.34,1.5,1.7,0.29,1.3,2.47,1.79,1.63,Developer
1.88,1.04,2.16,3.66,2.37,6.62,2.99,7.38,2.38,2.31,Educator
0.36,0.0,2.38,6.62,1.44,2.4,7.46,2.69,4.14,4.09,Lawyer
2.17,8.35,1.08,0.56,2.06,2.84,1.58,3.43,2.26,1.49,Designer
0.0,0.16,4.49,4.35,2.68,7.0,3.86,4.4,6.59,2.9,Healthcare Professional
4.45,1.8,7.46,1.78,0.0,0.0,2.88,1.61,2.89,5.69,Analyst
2.04,1.92,2.72,3.99,2.51,6.98,4.87,8.06,1.49,0.96,Educator
7.79,2.88,6.95,1.91,0.78,1.87,3.07,0.4,3.54,2.63,Developer
1.51,2.98,0.61,4.39,9.04,1.6,1.61,4.5,2.96,2.99,Sports Professional
1.66,2.79,3.42,6.55,0.9,2.54,3.63,5.05,3.05,6.72,Manager
0.07,2.41,1.96,7.08,0.67,1.31,3.69,5.43,1.36,6.99,Manager
4.93,2.2,6.79,1.21,0.0,2.58,2.45,1.69,4.81,3.49,Analyst
3.98,3.12,4.85,2.83,0.37,2.88,6.01,4.53,8.64,3.18,Researcher
4.96,1.48,7.65,3.61,2.86,2.27,4.68,1.43,4.13,5.7,Analyst
7.28,2.5,6.46,2.64,0.9,0.65,1.95,1.8,3.8,2.0,Developer
1.83,2.01,5.88,3.63,7.41,0.82,2.35,1.76,4.23,4.78,Engineer
0.49,0.88,3.43,7.57,1.01,2.61,3.81,5.01,1.87,8.14,Manager
3.38,1.08,7.81,3.64,7.67,1.46,2.36,3.25,3.03,3.66,Engineer
1.36,2.41,1.9,3.7,7.57,3.09,2.44,3.76,1.42,2.74,Sports Professional
3.7,2.79,5.87,3.26,7.71,1.71,2.85,2.39,3.95,2.09,Engineer
0.45,2.09,3.3,5.79,1.27,1.64,8.95,4.66,5.18,4.67,Lawyer
0.86,2.56,2.15,4.24,2.29,5.36,4.63,7.63,3.17,3.12,Educator
6.72,2.47,5.52,1.93,0.0,1.53,0.0,0.93,2.56,2.57,Developer
0.0,2.23,1.83,5.63,2.51,3.05,8.35,4.35,5.32,6.42,Lawyer
2.48,0.0,3.69,7.48,2.39,1.23,8.91,5.12,4.53,3.69,Lawyer
0.45,3.26,2.54,4.42,1.42,6.12,3.7,7.86,2.62,1.86,Educator
1.03,0.3,1.63,7.29,1.84,3.09,7.61,2.3,4.25,4.92,Lawyer
0.14,8.08,1.6,2.01,2.35,1.0,0.81,3.84,1.1,0.55,Designer
4.22,2.9,5.47,1.56,7.97,0.94,0.79,0.63,2.64,4.64,Engineer
2.28,6.85,1.63,1.1,1.99,3.12,1.33,0.33,1.89,1.51,Designer
1.59,1.66,2.3,6.81,0.52,0.0,7.49,3.25,4.35,4.82,Lawyer
1.9,2.23,2.39,3.28,2.63,7.45,4.02,3.25,6.13,1.38,Healthcare Professional
1.14,2.67,3.4,3.53,3.05,4.83,4.65,7.78,4.21,1.17,Educator
0.78,0.22,3.22,5.66,1.48,2.91,8.21,5.89,5.24,3.87,Lawyer
3.92,3.0,5.86,1.47,0.99,3.77,5.18,2.53,7.81,4.21,Researcher
7.53,1.2,5.23,1.45,3.36,0.0,3.32,2.4,3.25,3.58,Developer
2.27,3.16,3.75,6.98,1.99,3.02,4.99,4.54,1.36,6.67,Manager
3.26,2.37,7.97,0.35,0.25,0.88,3.11,1.28,3.47,4.31,Analyst
0.41,0.77,3.98,4.42,1.12,2.61,7.93,3.62,2.49,4.27,Lawyer
1.17,2.95,2.28,5.74,0.88,6.46,3.8,7.29,1.39,2.87,Educator
4.24,4.34,4.83,1.85,2.0,2.24,6.71,3.14,7.97,1.7,Researcher
0.21,1.08,1.74,5.32,7.08,3.14,1.54,3.13,0.85,3.32,Sports Professional
2.54,2.75,4.5,2.62,8.04,0.0,1.63,2.01,3.71,2.75,Engineer
1.14,2.15,1.91,3.99,1.45,9.65,2.22,4.93,3.75,1.44,Healthcare Professional
8.62,0.63,5.19,1.17,0.0,0.3,1.0,3.08,3.84,3.14,Developer
4.86,2.2,3.1,6.61,0.46,2.74,8.86,3.47,3.82,4.93,Lawyer
1.45,2.19,2.74,3.43,10.06,2.65,2.26,4.31,2.07,2.02,Sports Professional
2.65,1.98,3.07,3.48,0.51,6.61,6.61,8.49,2.63,2.19,Educator
0.96,1.7,3.11,4.54,7.92,3.72,1.07,3.36,0.54,3.01,Sports Professional
3.42,3.18,6.05,2.79,0.08,3.59,5.82,2.7,7.4,3.52,Researcher
2.16,2.77,3.35,7.7,0.61,2.7,3.9,4.7,2.14,6.48,Manager
2.73,3.85,7.46,3.13,8.9,1.14,2.69,3.1,3.49,3.06,Engineer
1.68,1.37,3.43,6.84,0.37,2.44,3.19,3.81,0.76,6.05,Manager
4.76,1.24,6.77,1.65,0.93,2.35,4.36,1.35,5.44,3.6,Analyst
7.7,3.68,4.05,1.67,1.23,1.7,0.89,0.31,3.47,2.27,Developer
3.9,4.73,5.9,2.41,6.96,1.08,2.21,2.25,3.56,2.45,Engineer
1.81,2.06,4.88,7.39,0.99,3.42,3.41,5.23,1.82,5.6,Manager
5.17,0.4,5.43,0.0,1.45,3.42,6.8,4.16,7.74,3.49,Researcher
8.88,3.6,5.31,2.84,1.13,0.7,1.45,1.23,2.65,2.15,Developer
0.65,0.84,2.04,3.6,2.78,8.36,1.75,4.3,4.28,3.69,Healthcare Professional
7.34,4.0,5.52,1.71,0.0,0.45,1.66,1.21,4.15,2.5,Developer
1.08,0.97,2.9,7.53,1.32,3.6,3.52,5.2,2.28,7.67,Manager
3.97,1.66,7.21,2.3,1.83,1.38,3.92,3.38,4.27,4.98,Analyst
0.12,2.52,3.25,1.93,1.37,7.22,3.77,4.64,5.89,4.04,Healthcare Professional
1.17,1.53,3.98,3.78,1.31,7.6,1.5,2.68,6.52,2.85,Healthcare Professional
3.51,3.78,1.93,4.94,0.6,2.62,9.43,4.06,3.42,4.45,Lawyer
1.67,1.85,1.89,4.52,2.01,6.32,4.47,8.18,2.94,2.16,Educator
4.43,2.96,6.57,3.09,5.25,1.01,0.38,2.46,1.62,2.84,Engineer
6.93,2.91,3.62,0.97,0.97,0.18,1.16,0.9,3.26,1.83,Developer
2.27,1.41,3.69,7.6,1.67,2.81,4.62,2.6,3.07,7.87,Manager
1.99,1.61,5.67,3.89,6.53,1.01,2.52,3.34,4.2,3.98,Engineer
0.73,1.29,2.92,3.43,2.58,6.75,2.25,5.1,4.82,2.57,Healthcare Professional
3.91,3.69,6.24,0.93,1.33,1.27,3.84,5.48,9.33,2.43,Researcher
2.08,1.55,2.18,3.0,1.93,6.03,4.7,7.24,3.77,0.33,Educator
3.4,2.56,7.1,4.47,8.9,1.79,2.53,1.54,3.77,2.18,Engineer
1.27,1.79,2.96,3.4,2.19,7.72,1.42,3.59,6.72,2.47,Healthcare Professional
2.31,1.4,5.08,7.42,0.0,0.92,4.04,4.63,3.77,5.57,Manager
5.54,1.59,3.01,1.79,1.82,1.63,5.71,3.62,8.23,3.71,Researcher
0.07,0.62,0.0,6.11,7.6,3.53,2.18,5.32,1.94,1.3,Sports Professional
5.07,0.88,5.46,1.62,0.78,3.82,3.49,0.37,2.88,4.45,Analyst
2.61,2.42,3.48,5.38,1.24,3.02,8.18,3.59,4.14,5.25,Lawyer
1.36,0.96,3.57,2.68,0.89,7.76,4.15,5.61,6.44,2.38,Healthcare Professional
3.07,3.79,5.88,1.3,6.14,2.99,1.8,2.39,2.81,3.29,Engineer
7.89,2.52,6.11,2.03,0.68,0.48,2.09,2.89,1.88,0.68,Developer
5.45,3.29,8.31,2.35,1.94,4.59,3.1,0.82,2.97,5.06,Analyst
0.0,1.87,4.05,7.81,0.35,2.59,3.2,4.48,2.59,6.92,Manager
0.48,2.43,1.44,4.02,8.71,2.19,0.93,5.12,1.56,2.25,Sports Professional
3.2,3.0,4.91,1.62,0.82,2.26,5.8,4.92,8.66,2.31,Researcher
0.12,1.93,4.42,5.2,8.42,2.53,1.65,3.16,3.62,2.74,Sports Professional
5.14,1.68,5.53,1.84,7.57,2.23,3.61,1.64,3.84,3.07,Engineer
0.98,1.42,1.44,4.36,7.94,1.6,0.0,4.86,2.13,1.27,Sports Professional
1.66,1.94,4.72,7.88,1.41,3.05,3.65,3.36,3.09,6.62,Manager
0.29,2.55,3.7,2.98,2.13,7.99,2.94,3.28,6.78,2.82,Healthcare Professional
7.79,2.49,4.77,2.24,1.2,1.02,1.12,2.67,3.6,1.5,Developer
7.96,2.11,4.16,1.31,2.09,0.0,1.05,1.61,2.11,1.29,Developer
4.45,1.02,5.38,1.85,5.22,1.51,1.78,1.9,4.71,3.08,Engineer
1.48,1.82,4.81,6.49,0.44,0.28,5.36,4.28,1.61,6.45,Manager
2.41,3.15,2.17,4.32,0.74,6.07,4.44,9.26,3.44,1.81,Educator
7.75,2.04,4.74,0.97,0.57,1.32,4.11,0.86,2.63,1.94,Developer
2.33,1.99,3.58,2.65,1.83,7.78,2.8,4.58,5.97,1.79,Healthcare Professional
1.76,2.25,4.5,6.95,1.62,1.25,5.78,3.78,1.21,6.99,Manager
0.58,2.22,2.59,3.99,2.5,7.1,2.37,3.3,6.17,1.8,Healthcare Professional
2.26,2.1,5.14,3.78,2.31,2.04,5.94,1.86,8.13,3.08,Researcher
3.48,3.0,3.16,3.86,0.04,5.24,4.08,7.65,2.45,2.54,Educator
7.59,3.37,4.87,1.21,0.65,0.0,2.27,1.73,3.0,1.79,Developer
2.87,0.49,3.69,1.55,0.05,3.9,5.43,4.33,8.71,3.01,Researcher
0.87,0.44,2.89,3.13,2.47,8.07,1.71,5.81,6.75,3.0,Healthcare Professional
1.85,2.58,1.1,2.66,0.73,5.69,5.83,7.9,3.49,3.64,Educator
2.0,1.47,3.01,6.02,0.88,1.95,8.38,3.24,5.05,5.1,Lawyer
3.06,2.4,5.06,3.42,6.79,0.0,2.74,2.52,1.95,3.77,Engineer
7.28,3.06,5.54,2.06,1.63,2.94,1.72,0.65,3.22,1.28,Developer
2.48,2.74,2.05,4.24,10.27,3.44,2.19,4.34,1.19,0.74,Sports Professional
4.23,3.22,3.93,2.36,8.75,0.61,3.03,1.72,3.66,1.98,Engineer
4.46,2.6,5.91,1.96,6.79,1.29,0.43,2.71,2.55,1.15,Engineer
4.4,1.81,6.64,2.74,3.04,1.05,2.61,2.5,3.0,5.1,Analyst
3.54,2.24,7.79,1.01,1.68,0.5,4.4,1.96,2.38,3.47,Analyst
0.64,2.21,3.16,2.75,0.27,8.22,2.22,3.95,4.94,3.79,Healthcare Professional
6.45,0.88,5.99,2.18,0.48,0.0,1.51,1.85,1.67,2.17,Developer
3.07,1.41,5.11,2.61,2.95,0.74,3.3,4.97,8.05,3.1,Researcher
0.96,2.91,3.32,5.02,7.64,2.56,0.33,4.82,2.26,1.56,Sports Professional
1.42,1.0,2.92,5.23,7.42,3.26,3.9,4.07,2.65,1.51,Sports Professional
1.39,2.81,2.19,4.37,0.97,3.03,8.6,2.48,3.04,4.72,Lawyer
0.68,0.49,2.2,3.64,1.6,6.96,2.9,5.03,6.48,0.29,Healthcare Professional
3.43,5.14,5.64,2.58,7.99,0.01,2.32,2.03,3.23,4.06,Engineer
2.38,1.85,5.03,3.86,8.63,1.53,1.43,3.2,2.07,4.93,Engineer
0.0,2.09,1.72,1.22,2.65,9.29,2.27,3.51,7.54,2.32,Healthcare Professional
3.51,7.2,2.13,1.39,2.05,1.96,3.23,2.3,4.64,0.57,Designer
0.82,2.2,1.09,3.79,1.37,6.42,5.05,8.09,1.53,1.4,Educator
0.93,2.4,2.53,4.01,0.36,6.8,4.0,7.41,2.37,1.55,Educator
3.22,1.54,5.13,0.36,1.17,2.99,5.88,4.77,8.75,3.37,Researcher
